game_key,bot_a,bot_b,game_index,swapped,winner,winner_raw,num_moves,time
Heuristic__VS__MCTS-old-100__GAME__23,Heuristic,MCTS-old-100,23,True,Heuristic,-1,5,4.726359844207764
Heuristic__VS__MCTS-old-100__GAME__24,Heuristic,MCTS-old-100,24,False,Heuristic,1,8,6.951350212097168
Heuristic__VS__MCTS-old-100__GAME__25,Heuristic,MCTS-old-100,25,True,Heuristic,-1,10,9.16921329498291
Heuristic__VS__MCTS-old-100__GAME__26,Heuristic,MCTS-old-100,26,False,Heuristic,1,6,4.482585668563843
Heuristic__VS__MCTS-old-100__GAME__27,Heuristic,MCTS-old-100,27,True,Heuristic,-1,12,12.854679584503174
Heuristic__VS__MCTS-old-100__GAME__28,Heuristic,MCTS-old-100,28,False,Heuristic,1,18,21.553739547729492
Heuristic__VS__MCTS-old-100__GAME__29,Heuristic,MCTS-old-100,29,True,draw,0,50,54.07340359687805
Heuristic__VS__MCTS-old-100__GAME__30,Heuristic,MCTS-old-100,30,False,Heuristic,1,15,18.210057258605957
Heuristic__VS__MCTS-old-100__GAME__31,Heuristic,MCTS-old-100,31,True,Heuristic,-1,13,15.654033660888672
Heuristic__VS__MCTS-old-100__GAME__32,Heuristic,MCTS-old-100,32,False,Heuristic,1,15,15.412029027938843
Heuristic__VS__MCTS-old-100__GAME__33,Heuristic,MCTS-old-100,33,True,Heuristic,-1,6,5.6848907470703125
Heuristic__VS__MCTS-old-100__GAME__34,Heuristic,MCTS-old-100,34,False,Heuristic,1,6,4.871259927749634
Heuristic__VS__MCTS-old-100__GAME__35,Heuristic,MCTS-old-100,35,True,Heuristic,-1,16,19.436673164367676
Heuristic__VS__MCTS-old-100__GAME__36,Heuristic,MCTS-old-100,36,False,MCTS-old-100,-1,24,36.64704465866089
Heuristic__VS__MCTS-old-100__GAME__37,Heuristic,MCTS-old-100,37,True,Heuristic,-1,12,14.020931243896484
Heuristic__VS__MCTS-old-100__GAME__38,Heuristic,MCTS-old-100,38,False,Heuristic,1,6,5.278968095779419
Heuristic__VS__MCTS-old-100__GAME__39,Heuristic,MCTS-old-100,39,True,MCTS-old-100,1,9,7.739816904067993
Heuristic__VS__MCTS-old-100__GAME__40,Heuristic,MCTS-old-100,40,False,Heuristic,1,9,7.351744651794434
Heuristic__VS__MCTS-old-100__GAME__41,Heuristic,MCTS-old-100,41,True,Heuristic,-1,15,20.242103099822998
Heuristic__VS__MCTS-old-100__GAME__42,Heuristic,MCTS-old-100,42,False,Heuristic,1,9,8.940775156021118
Heuristic__VS__MCTS-old-100__GAME__43,Heuristic,MCTS-old-100,43,True,MCTS-old-100,1,9,7.111737966537476
Heuristic__VS__MCTS-old-100__GAME__44,Heuristic,MCTS-old-100,44,False,Heuristic,1,12,13.33517575263977
Heuristic__VS__MCTS-old-100__GAME__45,Heuristic,MCTS-old-100,45,True,Heuristic,-1,8,7.737339735031128
Heuristic__VS__MCTS-old-100__GAME__46,Heuristic,MCTS-old-100,46,False,Heuristic,1,5,3.1547107696533203
Heuristic__VS__MCTS-old-100__GAME__47,Heuristic,MCTS-old-100,47,True,Heuristic,-1,8,7.918740510940552
Heuristic__VS__MCTS-old-100__GAME__48,Heuristic,MCTS-old-100,48,False,Heuristic,1,4,3.315464496612549
Heuristic__VS__MCTS-old-100__GAME__49,Heuristic,MCTS-old-100,49,True,Heuristic,-1,9,9.085903406143188
Heuristic__VS__MCTS-new-100__GAME__0,Heuristic,MCTS-new-100,0,False,Heuristic,1,13,19.201379537582397
Heuristic__VS__MCTS-new-100__GAME__1,Heuristic,MCTS-new-100,1,True,Heuristic,-1,10,11.456566333770752
Heuristic__VS__MCTS-new-100__GAME__2,Heuristic,MCTS-new-100,2,False,MCTS-new-100,-1,8,6.960123538970947
Heuristic__VS__MCTS-new-100__GAME__3,Heuristic,MCTS-new-100,3,True,Heuristic,-1,9,8.906012535095215
Heuristic__VS__MCTS-new-100__GAME__4,Heuristic,MCTS-new-100,4,False,Heuristic,1,4,3.2036757469177246
Heuristic__VS__MCTS-new-100__GAME__5,Heuristic,MCTS-new-100,5,True,Heuristic,-1,9,11.880274057388306
Heuristic__VS__MCTS-new-100__GAME__6,Heuristic,MCTS-new-100,6,False,Heuristic,1,11,15.078754425048828
Heuristic__VS__MCTS-new-100__GAME__7,Heuristic,MCTS-new-100,7,True,Heuristic,-1,20,26.93110489845276
Heuristic__VS__MCTS-new-100__GAME__8,Heuristic,MCTS-new-100,8,False,Heuristic,1,23,37.24925899505615
Heuristic__VS__MCTS-new-100__GAME__9,Heuristic,MCTS-new-100,9,True,Heuristic,-1,11,10.396381378173828
Heuristic__VS__MCTS-new-100__GAME__10,Heuristic,MCTS-new-100,10,False,MCTS-new-100,-1,10,8.972999572753906
Heuristic__VS__MCTS-new-100__GAME__11,Heuristic,MCTS-new-100,11,True,Heuristic,-1,12,13.73579740524292
Heuristic__VS__MCTS-new-100__GAME__12,Heuristic,MCTS-new-100,12,False,Heuristic,1,13,15.842129707336426
Heuristic__VS__MCTS-new-100__GAME__13,Heuristic,MCTS-new-100,13,True,Heuristic,-1,10,10.305058002471924
Heuristic__VS__MCTS-new-100__GAME__14,Heuristic,MCTS-new-100,14,False,Heuristic,1,7,5.418931484222412
Heuristic__VS__MCTS-new-100__GAME__15,Heuristic,MCTS-new-100,15,True,Heuristic,-1,36,79.04986262321472
Heuristic__VS__MCTS-new-100__GAME__16,Heuristic,MCTS-new-100,16,False,Heuristic,1,12,12.175661087036133
Heuristic__VS__MCTS-new-100__GAME__17,Heuristic,MCTS-new-100,17,True,MCTS-new-100,1,9,8.20106291770935
Heuristic__VS__MCTS-new-100__GAME__18,Heuristic,MCTS-new-100,18,False,Heuristic,1,5,3.7394607067108154
Heuristic__VS__MCTS-new-100__GAME__19,Heuristic,MCTS-new-100,19,True,Heuristic,-1,8,6.723882675170898
Heuristic__VS__MCTS-new-100__GAME__20,Heuristic,MCTS-new-100,20,False,Heuristic,1,7,5.068710803985596
Heuristic__VS__MCTS-new-100__GAME__21,Heuristic,MCTS-new-100,21,True,draw,0,50,117.25964331626892
Heuristic__VS__MCTS-new-100__GAME__22,Heuristic,MCTS-new-100,22,False,Heuristic,1,7,5.341090679168701
Heuristic__VS__MCTS-new-100__GAME__23,Heuristic,MCTS-new-100,23,True,Heuristic,-1,30,73.19162893295288
Heuristic__VS__MCTS-new-100__GAME__24,Heuristic,MCTS-new-100,24,False,Heuristic,1,8,6.507014989852905
Heuristic__VS__MCTS-new-100__GAME__25,Heuristic,MCTS-new-100,25,True,draw,0,50,74.17430543899536
Heuristic__VS__MCTS-new-100__GAME__26,Heuristic,MCTS-new-100,26,False,Heuristic,1,6,6.337609767913818
Heuristic__VS__MCTS-new-100__GAME__27,Heuristic,MCTS-new-100,27,True,Heuristic,-1,9,8.365504026412964
Heuristic__VS__MCTS-new-100__GAME__28,Heuristic,MCTS-new-100,28,False,Heuristic,1,13,15.195080041885376
Heuristic__VS__MCTS-new-100__GAME__29,Heuristic,MCTS-new-100,29,True,Heuristic,-1,22,41.71556115150452
Heuristic__VS__MCTS-new-100__GAME__30,Heuristic,MCTS-new-100,30,False,Heuristic,1,8,6.883870601654053
Heuristic__VS__MCTS-new-100__GAME__31,Heuristic,MCTS-new-100,31,True,Heuristic,-1,21,33.590787410736084
Heuristic__VS__MCTS-new-100__GAME__32,Heuristic,MCTS-new-100,32,False,Heuristic,1,13,15.166578769683838
Heuristic__VS__MCTS-new-100__GAME__33,Heuristic,MCTS-new-100,33,True,draw,0,50,68.928377866745
Heuristic__VS__MCTS-new-100__GAME__34,Heuristic,MCTS-new-100,34,False,Heuristic,1,5,3.6430599689483643
Heuristic__VS__MCTS-new-100__GAME__35,Heuristic,MCTS-new-100,35,True,Heuristic,-1,5,5.570775985717773
